,Benign,Bot,Brute Force -Web,Brute Force -XSS,DDOS attack-HOIC,DDOS attack-LOIC-UDP,DDoS attacks-LOIC-HTTP,DoS attacks-GoldenEye,DoS attacks-Hulk,DoS attacks-SlowHTTPTest,DoS attacks-Slowloris,FTP-BruteForce,Infilteration,SQL Injection,SSH-Bruteforce
Benign,69121,0,0,0,0,0,0,0,1,0,0,0,1414,0,0
Bot,1,530,0,0,0,0,0,0,0,0,0,0,0,0,0
Brute Force -Web,0,0,2,0,9,0,0,0,0,0,0,0,0,0,0
Brute Force -XSS,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
DDOS attack-HOIC,0,0,0,0,5093,0,0,0,0,0,0,0,0,1,0
DDOS attack-LOIC-UDP,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
DDoS attacks-LOIC-HTTP,17,0,0,0,0,0,654,0,0,0,0,0,0,0,0
DoS attacks-GoldenEye,0,0,0,0,0,0,0,114,0,0,1,0,0,0,0
DoS attacks-Hulk,0,0,0,0,0,0,0,1,1891,0,0,0,0,0,0
DoS attacks-SlowHTTPTest,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0
DoS attacks-Slowloris,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0
FTP-BruteForce,0,0,0,0,0,0,0,0,0,0,0,319,0,0,0
Infilteration,360,0,0,0,0,0,0,0,0,0,0,0,98,0,0
SQL Injection,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
SSH-Bruteforce,2,0,0,0,0,0,0,0,0,0,0,0,0,0,232
