,Benign,Bot,Brute Force -Web,Brute Force -XSS,DDOS attack-HOIC,DDOS attack-LOIC-UDP,DDoS attacks-LOIC-HTTP,DoS attacks-GoldenEye,DoS attacks-Hulk,DoS attacks-SlowHTTPTest,DoS attacks-Slowloris,FTP-BruteForce,Infilteration,SQL Injection,SSH-Bruteforce
Benign,70221,0,0,0,1,0,0,0,0,0,0,0,354,0,1
Bot,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0
Brute Force -Web,0,0,2,0,10,0,0,0,0,0,0,0,0,0,0
Brute Force -XSS,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0
DDOS attack-HOIC,0,0,20,7,4785,0,0,0,0,0,0,0,0,0,0
DDOS attack-LOIC-UDP,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0
DDoS attacks-LOIC-HTTP,1,0,0,0,0,0,853,0,0,0,0,0,0,0,0
DoS attacks-GoldenEye,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0
DoS attacks-Hulk,4,0,0,0,0,0,0,0,2062,0,0,0,0,0,0
DoS attacks-SlowHTTPTest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DoS attacks-Slowloris,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0
FTP-BruteForce,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0
Infilteration,384,0,0,0,0,0,0,0,0,0,0,0,697,0,0
SQL Injection,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SSH-Bruteforce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318
